alert_id,transaction_id,alert_timestamp,alert_type,risk_score,alert_status,analyst_notes,resolution_timestamp,confirmed_fraud
bd9201f3-3361-419d-9607-ae992332854b,ea83fa94-d4a4-4ab3-b799-a26f66b29757,2021-12-15T23:52:06.310Z,AMOUNT_ANOMALY,0.893,CONFIRMED_FRAUD,Amount > 5x median for this customer,2021-12-17T05:52:06.310Z,1
7c38afab-51f1-4674-b460-aa6faba896de,3f5fc554-5fcb-4738-a452-f477ee8c5ce8,2022-11-24T23:04:14.089Z,GEO_ANOMALY,0.699,RESOLVED,Cross-border activity outside normal travel pattern,2022-11-25T17:04:14.089Z,1
6f151eb6-886f-464a-94d1-6b27b142196b,9522b162-efc7-4e22-84e5-fb5a3b140d23,2023-06-09T21:09:49.720Z,AMOUNT_ANOMALY,0.727,CONFIRMED_FRAUD,High-value purchase outside typical pattern,2023-06-11T05:09:49.720Z,1
816a460f-9c6a-4198-a44a-01aae46b1229,9ea2ede6-dce8-49bc-9e0d-c57a60a9e5b6,2023-11-15T10:33:20.563Z,GEO_ANOMALY,0.837,RESOLVED,Cross-border activity outside normal travel pattern,2023-11-17T16:33:20.563Z,1
cf1e97a6-b7b0-478d-847b-ce39a53dbb90,56ef3f82-5a7f-4010-aab6-15aa4a8e9b42,2023-02-06T09:20:53.604Z,GEO_ANOMALY,0.827,NEW,Cross-border activity outside normal travel pattern,,1
776d53e1-9368-4bf6-ac32-9b5ba23b46a8,acfa21d6-aff5-49dd-b420-f504e3856a6a,2022-06-13T00:51:14.151Z,VELOCITY_CHECK,0.986,INVESTIGATING,High transaction frequency anomaly,,1
5a469a7f-7080-46e0-a8ef-2877186c093f,991839c2-f482-495b-bcc9-873317e86d23,2021-12-30T14:43:16.590Z,VELOCITY_CHECK,0.662,RESOLVED,Velocity threshold exceeded for account,2021-12-31T16:43:16.590Z,1
2d54b4e3-b855-4ba7-a039-b84ec76b6433,f109e4cf-3a8b-4ea5-b9e8-bbd60ef5cdcd,2022-07-06T14:42:13.277Z,ML_MODEL_FLAG,0.729,CONFIRMED_FRAUD,Card tested at multiple merchants,2022-07-09T13:42:13.277Z,1
b06d37fb-3dc2-4164-a082-536e010c4d95,e7fb3c25-c9f0-45c3-891a-9fd74d9d6f09,2021-06-24T18:23:49.000Z,BEHAVIORAL_ANOMALY,0.893,CONFIRMED_FRAUD,Atypical purchase pattern detected,2021-06-26T15:23:49.000Z,1
192ef46e-0fe9-4ecd-bdec-39e441bf7676,43f5a25e-8fbb-4dda-9f10-099f398f0c19,2023-07-25T06:40:27.428Z,ML_MODEL_FLAG,0.817,CONFIRMED_FRAUD,Card tested at multiple merchants,2023-07-25T22:40:27.428Z,1
d01a6fb5-91b8-487d-bb9a-e4e3cbcaab2f,3a98ea84-8c90-4540-9fe4-cd9e0d7f63c6,2022-10-13T19:08:22.015Z,AMOUNT_ANOMALY,0.307,NEW,Unusually high spend on category,,0
34d49e2b-7d78-4996-a29b-519552c82f62,2f15a24d-15d1-49a9-9ca8-b7782ee4d9d5,2022-01-31T07:12:18.856Z,VELOCITY_CHECK,0.864,CONFIRMED_FRAUD,Burst pattern detected: 7+ tx in 2 hours,2022-02-01T13:12:18.856Z,1
95e17a9b-7f8d-4766-9cd6-c63f113a9af6,84796ef9-de7a-4cdb-9b5a-bd56b35ffeb5,2021-03-22T01:04:05.979Z,GEO_ANOMALY,0.427,FALSE_POSITIVE,Foreign country transaction with no travel history,2021-03-23T01:04:05.979Z,0
fe0a9016-da3e-4ce4-9e66-8b9869910cf6,79c4668b-d1f2-4fe6-9599-7eea52d458d1,2021-04-05T12:40:12.478Z,DEVICE_FINGERPRINT,0.816,INVESTIGATING,New device not previously seen for account,,1
eb2efbe9-e72f-4fe7-a707-e55d5549f1ee,6a5fc620-4ab8-4c16-b00f-12f3473c7436,2023-08-03T00:35:34.644Z,BEHAVIORAL_ANOMALY,0.932,CONFIRMED_FRAUD,Out-of-pattern late-night activity,2023-08-04T03:35:34.644Z,1
07c0ca0f-a006-4abe-8a7f-1cf617b60b90,1ea75ecc-8862-4523-beb2-19bc6fe9e966,2022-11-20T05:45:58.339Z,VELOCITY_CHECK,0.806,CONFIRMED_FRAUD,High transaction frequency anomaly,2022-11-20T06:45:58.339Z,1
fb5f039f-4542-4494-a590-ca7ea89912a1,da2d982b-ec7e-427b-a034-18dae0c88923,2023-03-21T18:39:34.883Z,DEVICE_FINGERPRINT,0.759,INVESTIGATING,Unrecognized device used for high-value transaction,,1
4b185f53-f942-4922-a643-b6ef705882d0,faf309fa-3ca8-4fd2-b579-500381a81059,2022-12-23T16:09:24.205Z,BEHAVIORAL_ANOMALY,0.683,RESOLVED,Deviation from established spending habits,2022-12-24T14:09:24.205Z,1
3fff302a-3584-446e-87b9-4411f83a1802,baed38b1-d01e-496e-a6a9-26de1e4ae82f,2021-12-05T07:43:31.938Z,DEVICE_FINGERPRINT,0.438,FALSE_POSITIVE,Suspicious device characteristics,2021-12-08T07:43:31.938Z,0
5dd35bd1-944d-4320-8138-d606c0e4b816,efbac569-2cd0-4ca7-816f-2948bc6fb5c9,2022-09-18T04:28:38.383Z,AMOUNT_ANOMALY,0.84,CONFIRMED_FRAUD,Amount > 5x median for this customer,2022-09-18T16:28:38.383Z,1
f7790824-f45c-4640-8ec6-c9e0a20b94f7,829a34e0-295c-40c8-bc67-4e1f7992d148,2024-06-26T13:46:08.294Z,AMOUNT_ANOMALY,0.787,RESOLVED,Amount > 5x median for this customer,2024-06-27T07:46:08.294Z,1
